year,month,day,hour,minute,web01prdjc,web02prdjc,web01stgjc,webo2stgjc
2013,07,11,08,01,up,up,,
2013,07,11,08,02,up,up,,
2013,07,11,08,03,up,up,,
2013,07,11,08,04,up,up,,
2013,07,11,08,05,up,up,,
2013,07,11,08,06,up,up,,
2013,07,11,08,07,up,up,,
2013,07,11,08,08,up,up,,
2013,07,11,08,09,up,up,,
2013,07,11,08,10,up,up,,
2013,07,11,08,11,up,up,,
2013,07,11,08,12,up,up,,
2013,07,11,08,13,up,up,,
2013,07,11,08,14,up,up,,
2013,07,11,08,15,up,up,,
2013,07,11,08,16,up,up,,
2013,07,11,08,17,up,up,,
2013,07,11,08,18,up,up,,
2013,07,11,08,19,up,up,,
2013,07,11,08,20,up,up,,
2013,07,11,08,21,up,up,,
2013,07,11,08,22,up,up,,
2013,07,11,08,23,up,up,,
2013,07,11,08,24,up,up,,
2013,07,11,08,25,up,up,,
2013,07,11,08,26,up,up,,
2013,07,11,08,27,up,up,,
2013,07,11,08,28,up,up,,
2013,07,11,08,29,up,up,,
2013,07,11,08,30,up,up,,
2013,07,11,08,31,up,up,,
2013,07,11,08,32,up,up,,
2013,07,11,08,33,up,up,,
2013,07,11,08,34,up,up,,
2013,07,11,08,35,up,up,,
2013,07,11,08,36,up,up,,
2013,07,11,08,37,up,up,,
2013,07,11,08,38,up,up,,
2013,07,11,08,39,up,up,,
2013,07,11,08,40,up,up,,
2013,07,11,08,41,up,up,,
2013,07,11,08,42,up,up,,
2013,07,11,08,43,up,up,,
2013,07,11,08,44,up,up,,
2013,07,11,08,45,up,up,,
2013,07,11,08,46,up,up,,
2013,07,11,08,47,up,up,,
2013,07,11,08,48,up,up,,
2013,07,11,08,49,up,up,,
2013,07,11,08,50,up,up,,
2013,07,11,08,51,up,up,,
2013,07,11,08,52,up,up,,
2013,07,11,08,53,up,up,,
2013,07,11,08,54,up,up,,
2013,07,11,08,55,up,up,,
2013,07,11,08,56,up,up,,
2013,07,11,08,57,up,up,,
2013,07,11,08,58,up,up,,
2013,07,11,08,59,up,up,,
2013,07,11,09,00,up,up,,
2013,07,11,09,01,up,up,,
2013,07,11,09,02,up,up,,
2013,07,11,09,03,up,up,,
2013,07,11,09,04,up,up,,
2013,07,11,09,05,up,up,,
2013,07,11,09,06,up,up,,
2013,07,11,09,07,up,up,,
2013,07,11,09,08,up,up,,
2013,07,11,09,09,up,up,,
2013,07,11,09,10,up,up,,
2013,07,11,09,11,up,up,,
2013,07,11,09,12,up,up,,
2013,07,11,09,13,up,up,,
2013,07,11,09,14,up,up,,
2013,07,11,09,15,up,up,,
2013,07,11,09,16,up,up,,
2013,07,11,09,17,up,up,,
2013,07,11,09,18,up,up,,
2013,07,11,09,19,up,up,,
2013,07,11,09,20,up,up,,
2013,07,11,09,21,up,up,,
2013,07,11,09,22,up,up,,
2013,07,11,09,23,up,up,,
2013,07,11,09,24,up,up,,
2013,07,11,09,25,up,up,,
2013,07,11,09,26,up,up,,
2013,07,11,09,27,up,up,,
2013,07,11,09,28,up,up,,
2013,07,11,09,29,up,up,,
2013,07,11,09,30,up,up,,
2013,07,11,09,31,up,up,,
2013,07,11,09,32,up,up,,
2013,07,11,09,33,up,up,,
2013,07,11,09,34,up,up,,
2013,07,11,09,35,up,up,,
2013,07,11,09,36,up,up,,
2013,07,11,09,37,up,up,,
2013,07,11,09,38,up,up,,
2013,07,11,09,39,up,up,,
2013,07,11,09,40,up,up,,
2013,07,11,09,41,up,up,,
2013,07,11,09,42,up,up,,
2013,07,11,09,43,up,up,,
2013,07,11,09,44,up,up,,
2013,07,11,09,45,up,up,,
2013,07,11,09,46,up,up,,
2013,07,11,09,47,up,up,,
2013,07,11,09,48,up,up,,
2013,07,11,09,49,up,up,,
2013,07,11,09,50,up,up,,
2013,07,11,09,51,up,up,,
2013,07,11,09,52,up,up,,
2013,07,11,09,53,up,up,,
2013,07,11,09,54,up,up,,
2013,07,11,09,55,up,up,,
